@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,23-24'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
18,CAN,74,205,C,5,66,41,22,63,75,5,5,1,3,4,0,-3,no
19,CAN,74,216,L,22,69,34,42,76,194,-6,4,0,0,0,16,-2,no
19,EURO,76,198,D,?,35,4,14,18,130,0,?,?,?,?,?,?,no
18,CAN,75,216,D,44,71,1,11,12,241,1,5,0,0,0,16,-2,no
18,CAN,78,216,D,?,61,2,3,5,164,3,13,0,0,0,16,1,no
18,EURO,72,203,R,5,48,17,18,35,26,-3,?,?,?,?,?,?,no
18,EURO,73,216,L,28,67,7,7,14,152,0,3,0,0,0,0,0,no
18,CAN,72,201,C,?,64,19,18,37,96,13,16,6,6,12,26,6,no
19,CAN,72,185,L,?,40,19,22,41,193,-10,?,?,?,?,?,?,no
18,USA,75,205,D,?,61,4,15,19,106,23,15,0,3,3,20,-2,no
18,EURO,73,207,R,82,11,9,13,22,19,0,5,5,2,7,17,0,no
18,CAN,73,174,C,35,69,20,36,56,42,-14,?,?,?,?,?,?,no
19,USA,75,220,R,45,42,4,9,13,8,0,?,?,?,?,?,?,no
19,USA,74,196,L,?,43,5,6,11,51,0,?,?,?,?,?,?,no
18,EURO,73,205,C,22,34,11,16,27,34,0,?,?,?,?,?,?,no
19,USA,74,227,D,?,54,4,19,23,99,0,10,1,2,3,18,0,no
18,CAN,73,201,D,?,39,1,3,4,153,-14,?,?,?,?,?,?,no
19,EURO,73,212,D,43,34,8,9,17,30,0,?,?,?,?,?,?,no
18,CAN,76,201,R,?,38,2,4,6,78,3,?,?,?,?,?,?,no
20,CAN,74,214,D,?,47,8,21,29,62,-2,7,1,2,3,16,1,no
18,CAN,73,181,R,?,69,11,9,20,146,-13,4,0,0,0,4,-4,no
18,CAN,73,203,D,?,53,4,15,19,95,-7,?,?,?,?,?,?,no
19,CAN,72,185,L,?,68,21,22,43,122,-17,4,2,0,2,4,-2,no
18,EURO,75,207,D,?,28,9,15,24,42,0,?,?,?,?,?,?,no
18,EURO,74,214,L,23,28,5,3,8,16,1,?,?,?,?,?,?,no
20,CAN,75,198,C,?,61,34,53,87,74,2,5,1,2,3,4,-3,no
19,CAN,76,201,D,36,70,3,12,15,204,11,17,0,0,0,36,-9,no
19,USA,73,196,C,?,17,7,2,9,64,0,?,?,?,?,?,?,no
18,CAN,74,209,R,?,58,11,10,21,80,0,10,2,2,4,2,0,no
20,CAN,74,201,L,?,64,8,13,21,143,-15,7,3,3,6,6,0,no
18,CAN,73,216,D,?,72,11,27,38,47,-44,?,?,?,?,?,?,no
18,CAN,77,216,D,?,70,3,17,20,98,7,7,0,0,0,14,-3,no
18,CAN,75,231,D,?,55,1,10,11,176,0,16,1,4,5,34,0,no
19,EURO,72,192,D,?,44,13,10,23,129,-1,?,?,?,?,?,?,no
18,CAN,73,203,L,?,66,19,16,35,58,-4,16,0,2,2,22,-2,no
18,CAN,72,201,D,?,37,1,3,4,105,0,?,?,?,?,?,?,no
18,CAN,71,190,C,46,71,28,42,70,76,-33,6,6,3,9,4,4,no
18,CAN,75,181,D,?,56,0,9,9,149,-12,6,0,0,0,11,-4,no
18,CAN,75,229,D,?,72,11,7,18,139,-26,?,?,?,?,?,?,no
18,EURO,72,207,C,?,21,1,3,4,22,0,?,?,?,?,?,?,no
18,EURO,71,196,L,16,12,2,2,4,4,0,?,?,?,?,?,?,no
18,EURO,72,198,L,11,28,5,3,8,14,0,?,?,?,?,?,?,no
20,CAN,72,220,R,?,50,10,8,18,173,0,14,4,2,6,48,1,no
18,CAN,76,205,D,?,68,2,13,15,72,4,5,0,0,0,2,-1,no
20,CAN,72,203,R,?,52,48,32,80,121,0,?,?,?,?,?,?,no
18,CAN,73,212,L,?,56,10,6,16,224,0,?,?,?,?,?,?,no
20,USA,77,218,D,?,36,1,1,2,56,0,?,?,?,?,?,?,no
18,CAN,77,229,R,?,70,5,8,13,244,-26,?,?,?,?,?,?,no
18,EURO,72,196,C,50,56,13,27,40,101,0,?,?,?,?,?,?,no
18,CAN,77,225,D,?,50,1,2,3,181,-5,3,0,0,0,7,0,no
18,CAN,74,216,L,?,42,1,8,9,72,0,6,1,3,4,19,-1,no
18,EURO,72,225,D,8,59,12,18,30,48,1,?,?,?,?,?,?,no
18,EURO,72,196,C,30,32,8,6,14,14,0,3,0,0,0,4,-2,no
20,EURO,75,185,C,?,45,18,15,33,54,-8,?,?,?,?,?,?,no
19,CAN,75,218,L,?,68,3,1,4,249,0,9,0,0,0,15,0,no
18,CAN,76,185,L,37,68,17,9,26,42,6,12,1,2,3,2,-2,no
18,CAN,75,201,D,?,58,3,4,7,99,-24,4,0,1,1,6,-6,no
